연도,가수,앨범,제목,작사,가사
2019,TWICE,Feel Special,LOVE FOOLISH,"심은지, 모모","매일 매일 네 이름을 불렀어 천 번쯤 천만 번쯤 너의 귀에 닿기 전에 Cut and rewind Why can’t you be mine yeah Ooh 나를 빙빙 돌게 만든 건 It’s you Just round and round and round and Around you 매일 반복되는 Midnight promise I don’t know what to do Crazy love I love you, love you, hate, foolish Crazy love I love you Make me feel so high Love I love you, love you, hate, foolish Crazy love I hate you Make me so bad 이상해 네게 빠져들수록 미안해 너를 미워하게 돼 나도 날 모르겠어 설명이 안돼 갇혔어 이 낯선 감정 속 미로에 Umm 어김없이 끌려들어 Yes me Umm umm I want to give you permission, That's me 내가 많이 아니 너를 많이 아니 말하지 않을래 For myself 할수록 해로워 Toxic love You 네가 기쁠 때 난 슬퍼져 It’s so ironic ronic ronic Yeah it’s true 역시 달콤한 건 위험했어 I know, I was a fool 이상해 네게 빠져들수록 미안해 너를 미워하게 돼 나도 날 모르겠어 설명이 안돼 갇혔어 이 낯선 감정 속 미로에 눈을 감고서 널 그리기만 해도 I'm excited My foolish heart ooh yeah I love you, love you, hate, foolish 이상해 네게 빠져들수록 미안해 너를 미워하게 돼 나도 날 모르겠어 설명이 안돼 갇혔어 이 낯선 감정 속 미로에 Crazy love I love you, love you, hate, foolish Crazy love I love you Love I love you, love you, hate, foolish Crazy love I hate you"
2019,TWICE,Feel Special,21:29,TWICE,This is for you You’re my dream 넘쳐버린 이 맘 어떻게 전할까 조금 서툴지도 몰라 이제 내 말을 들어줄래요 내게 해준 하나하나 모든 걸 기억해 나 고맙다 해주는 너 날 따뜻하게 해 꿈이어도 좋아 내일은 그 자리에 네가 없다 해도 괜찮아 너를 I’ll remember 조금씩 조금씩 채워간 우리 추억 지금처럼 이 모습 그대로 언제나 지켜갈게 눈으로만 네게 전해지진 않을 걸 알아서 간절한 네 마음 하나둘씩 돌려주고파 그저 작은 선물이야 이런 날 받아줄래 담아왔던 작은 말 이런 나이지만 꿈이어도 좋아 내일은 그 자리에 네가 없다 해도 괜찮아 너를 I’ll remember 조금씩 조금씩 채워간 우리 추억 지금처럼 이 모습 그대로 언제나 지켜갈게 넌 내 덕분이래 넌 내가 전부래 날 안아준 말 다시 너에게 For you This is for you You’re my dream 혹시 우리 머나먼 추억이 되더라도 언제든 기분 좋은 기억으로 날 꺼내줘 우리의 시간들 희미해져도 약속할게 사라지지 않게 모두 다 간직할게 This is for you
2019,TWICE,Feel Special,BREAKTHROUGH (Korean Ver.),"Olivia Choi, Yu Shimoji","변치 않는 이 맘은 Dreaming Anytime 내 가슴을 두근거리게 하네 꿈꿔왔던 미래로 Heading 어떤 어려운 문제도 이길 준비 나 돼 있어 시간은 무한히 펼쳐진대도 되돌릴 수 없는 걸 알잖아 내 이름으로 내가 쓰는 Story 딱 하나밖에는 없으니까 그 누가 뭐라 뭐라 말을 해도 그냥 나는 Going my way Say say don't give up, say say don't give up 언젠가 반짝반짝 빛이 나는 멋진 내가 될 때까지 Say say don't give up, say say don't give up Breakthrough breakthrough breakthrough breakthrough 돌고 돌아간대도 Breakthrough breakthrough breakthrough breakthrough 시간은 기다려줘 빛이 나는 내 미래를 세상이 기대하고 있어 Say say don't give up, say say don't give up Break break breakthrough break break breakthrough Break break breakthrough break break breakthrough Everybody break break breakthrough 망설이지 말고 그냥 Growing up 봐봐 Now부터 Future에 Link되는 My heart Beat가 Heating 자, Moving on, moving on 약한 나와 Fighting 마음 강하게 먹고서 나 계속해 나간다면 분명 한계 따위는 Break Baby 지금부터 간다 Oh let go 누군가와 비교당한다 해도 내 자신 지켜나가고 싶어 내가 아껴왔던 그 꿈 Milestone 이 가슴 속에 품고 있는 한 만약 나 빛이 보이지도 않는 터널을 걷는다 해도 Say say don't give up, say say don't give up 절대 뒤돌아보지도 않고 앞으로 그냥 가고 싶어 Say say don't give up, say say don't give up Breakthrough breakthrough breakthrough breakthrough 자꾸 변해만 가는 Breakthrough breakthrough breakthrough breakthrough 이런 세상 속에서 더 큰 꿈을 꾸는 내가 세상을 바꾸고 싶어 Say say don't give up, say say don't give up 오늘도 내 가슴을 Ah 계속 뛰게 하는 것들엔 이유 따윈 없어 내일을 향한 충동을 그 누가 뭐라 뭐라 말을 해도 그냥 나는 Going my way Say say don't give up, say say don't give up 언젠가 반짝반짝 빛이 나는 멋진 내가 될 때까지 Say say don't give up, say say don't give up Breakthrough breakthrough breakthrough breakthrough 돌고 돌아간대도 Breakthrough breakthrough breakthrough breakthrough 시간아 날 기다려줘 빛이 나는 내 미래를 세상이 기대하고 있어 Say say don't give up, say say don't give up Break break breakthrough break break breakthrough Break break breakthrough break break breakthrough"
2020,TWICE,MORE & MORE,MORE & MORE,"J.Y. Park 'The Asiansoul', 비비 (BIBI)",I know I want it 입에 바른 소린 이제 그만할게 Cause I deserve it deserve it 혹시 잠깐 내가 미워지더라도 걱정 안 할게 Cause I know you I know you 내 눈을 자꾸 피해봐 네 맘을 자꾸 숨겨봐 나에게서 도망쳐봐 No no 감았던 눈을 떴을 때 문득 내가 떠오를 때 You are gonna be mine again You're gonna say more more more more more and more 멈추지 못해 More more more and more 그러니 한 번 더 I wanna have more more more more more and more 멈추기 싫어 More more more and more 그러니 한 번 더 멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더 Do you feel me 니가 날 위한 사람이라고 믿니 Only for me only for me 간지러운 말은 굳이 하지 않아도 넌 Cause you know me you know me 네 귀를 자꾸 막아도 나를 멀리 밀어내도 나에게서 멀어져도 (저 멀리) No no 내가 다시 널 부르면 나의 목소릴 들으면 You are gonna be mine again Yeah 한 번 더 You're gonna say more more more more more and more 멈추지 못해 More more more and more 그러니 한 번 더 I wanna have more more more more more and more 멈추기 싫어 More more more and more 그러니 한 번 더 멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더 난 원래 욕심쟁이 몰랐다면 미안 사과는 미리 할게 Cuz I want you more more 의견은 필요 없어 훔칠 거야 네 맘 내게 홀리게 될걸 You can't say no no 난 도둑고양이 오늘만은 널 꼭 잡으러 왔으니까 딱 기다려 너 멀리 가지 말고 다시 내게 Come come Yeah 한 번 더 멈추지를 못해 More and more 그러니 한 번 더 멈추기가 싫어 More and more 그러니 한 번 더
2020,TWICE,MORE & MORE,OXYGEN,"제이큐 (JQ), 정일권","나도 모르게 너의 호흡을 따라가 예전에 없던 그런 감정 한순간의 착각이 아니야 뭔가 확실하게 날 끌어당겨 막을 수 없어 Yeah 이건 마치 Fiction 항상 꿈꿔 왔던 오늘 같은 장면 Feeling na na 말로 다 할 수 없는 기적 꿈이라도 좋아 내 기분은 So high Singing la la 계속될 우리의 Highlight 매 순간이 눈부셔 기대했었던 상상 모두 다 이뤄져 천천히 하나씩 느껴지는 대로 우리 함께 공기보다 너 I really really really really want 날 숨 쉬게 해주는 너니까 곁에 있어줘 I really really really really want 너만 있다면 Baby baby 언제나 이대로 너만 너만 Only only 너 Baby baby 내 손을 놓지 마 You’re my, you’re my only only one 어두웠던 내 밤에 빛났던 단 하나의 별빛이 더욱 선명해져 가끔씩 내가 힘이 들 때 올려다 본 하늘에 빛나는 별을 보며 지친 나를 위로해 Yeah 갈수록 더 깊어지는 우리 시간 하늘 위를 날아 Feeling na na 발걸음마다 나를 비춰 별빛 가득한 밤 바람마저 좋아 Singing la la 꿈보다 꿈같은 순간 이건 마치 Paradise 별들보다 찬란한 내일을 그려봐 우리의 시간이 계속 영원하길 나는 원해 공기보다 너 I really really really really want 날 숨 쉬게 해주는 너니까 곁에 있어줘 I really really really really want 너만 있다면 Baby baby 언제나 이대로 너만 너만 Only only 너 Baby baby 내 손을 놓지 마 You’re my, you’re my only only one Yeah hold me tight 날 놓치지 마 꽉 잡아 너의 한숨까지 다 안아줄 테니까 I know you wanna stay 시간을 Stop baby 지금처럼 내 곁에 있어 누구보다 더 I really really really really want 날 빛나게 해주는 너니까 지금처럼만 I really really really really want 너만 있다면 Baby baby 언제나 이대로 너만 너만 Only only 너 Baby baby 내 손을 놓지 마 You’re my, you’re my only only one Baby baby 서로를 비춰줘 You’re my, you’re my only only one Baby baby 완벽한 이 순간 You’re my, you’re my only only one"
2020,TWICE,MORE & MORE,FIREWORK,김수정,Uh yeah yeah yeah ay ay Oh na na na oh na na na Oh na na na na na 내 안의 우주가 선명해 널 처음 본 순간 미처 넌 몰랐던 날 깨워준 걸 저 멀리 태양이 저물 때 조금씩 차오르는 건 너를 향한 맘 Fire in my heart 낯선 이 느낌 느낌 느낌 너도 같다면 망설이지 마 Hide here in my arms 더 머뭇거리면 놓칠지 몰라 내게로 달려 숨 쉴 틈 없이 So let me hear it 타오르는 불빛 나를 보는 너 채워줄래 Desert to the ocean 더 깊이 네 손길로 내 운명의 비밀 난 모르지만 All of you 너일 거야 너일 거야 I feel like a firework Sparkle like a fire 저 불길을 거슬러 더 와요 날 봐요 No I can’t wait 난 다른 건 몰라 널 끝없이 불러 네 심연에 가득한 고민은 버려 네 맘에 더 닿을 때까지 이젠 폭풍보다 더 커진 속삭임 내게 말해봐 넌 내가 느낀 느낀 느낀 어떤 것과도 같지 않은 걸 감당할 수가 난 없을 것 같아 이젠 너 없인 더 알고 싶어 네 맘이 뭔지 So let me hear it 타오르는 불빛 나를 보는 너 채워줄래 Desert to the ocean 더 깊이 네 손길로 내 운명의 비밀 난 모르지만 아마도 너일 거야 너일 거야 맘이 너무 뜨거워 널 보는 그 순간 One by one 또다시 시작된 My firework 네 숨결에 불사조처럼 또 난 태어나 Oh baby 내게로 와 혈관이 터질 듯한 심장박동 Like a super nova 날 채워 너로 다 너로 나조차도 몰랐던 Oh 타오르는 불빛 돌아보면 너 채워줄래 Desert to the ocean 더 깊이 너의 손길로 몰랐던 의미 난 이제 알아 All of you 너일 거야 너일 거야 I feel like a firework
2020,TWICE,MORE & MORE,MAKE ME GO,나연,"저 멀리 서 있는 넌 이미 가까워진 듯 느껴져 이 순간 날 향해 경계하는 두려움에 찬 그 눈빛 괜찮아 걱정 마 너의 떨리는 두 손 내가 잡고 싶어져 이미 알고 있잖아 나를 원한다는 걸 Love me love me now Love me love me good Don’t need nobody else when it feels this good Ain’t nobody around, do it like you should Do it do it do it do it Yeah you make me go Love me love me now Love me love me good (you make me go) Don’t need nobody else when it feels this good (you make me go) Ain’t nobody around, do it like you should 여길 봐 난 해치지 않아 다가와도 괜찮아 고갤 들어 주위를 둘러봐 어딜 봐도 나잖아 조금 더 조금 더 맘을 열어 내게 더 보여줘 들려줘 감춘 진실을 너의 떨리는 두 손 내가 잡고 있잖아 이미 알고 있잖아 내가 필요하단 걸 Love me love me now Love me love me good Don’t need nobody else when it feels this good Ain’t nobody around, do it like you should Do it do it do it do it Yeah you make me go Love me love me now Love me love me good (you make me go) Don’t need nobody else when it feels this good (you make me go) Ain’t nobody around, do it like you should Hey 어딜 봐 넌 다치지 않아 내게 와도 괜찮아 고갤 들어 주위를 둘러봐 다시 봐도 나잖아 점점 더 시간은 촉박해져 촉박해져 Oh yeah 점점 더 심장은 조여올 걸 조여올 걸 Oh yeah 너의 떨리는 몸은 점점 굳어갈 거야 이미 알고 있잖아 넌 시간이 없는 걸 Love me love me now Love me love me good Don’t need nobody else when it feels this good Ain’t nobody around, do it like you should Yeah you make me go Love me love me now Love me love me good (you make me go) Don’t need nobody else when it feels this good (you make me go) Ain’t nobody around, do it like you should Do it do it do it do it Love me love me now Love me love me good Don’t need nobody else when it feels this good Ain’t nobody around, do it like you should Yeah you make me go Love me love me now Love me love me good (you make me go) Don’t need nobody else when it feels this good (you make me go) Ain’t nobody around, do it like you should"
2020,TWICE,MORE & MORE,SHADOW,조윤경,"아파도 괜찮은 척 다 큰 어른인 척 진짜 나를 감춰 정말 괜찮은지 이게 당연한지 물을 틈도 없이 지쳐 느려진 발이 잠시 멈춘 이 밤이 Oh 지금 날 감싸 안아 지금 나를 다 맡긴 리듬 속에 숨 막힐 아름다운 이 밤 홀로 춤을 추는 Shadow Shadow 좀 더 자유롭게 해 줘, 해 줘 저 눈 부신 달빛이 날 비춰 와 꿈을 꾸는 듯한 Shadow Shadow 멈출 수도 없는 채로 내게 스며드는 Shadow 늘 쉴 새 없이 달릴 줄만 알던 내가 버거워져 약해 보이긴 싫어 뻔한 눈물 따위 깊이 감출 테니 춤을 추는 두 발이 잠시 머물 이 밤이 벅차게 날 감싸 안아 나의 전부를 맡길 리듬 속에 휘날릴 나만 아는 이 밤 홀로 춤을 추는 Shadow Shadow 좀 더 자유롭게 해 줘, 해 줘 저 눈 부신 달빛이 날 비춰 와 꿈을 꾸는 듯한 Shadow Shadow 멈출 수도 없는 채로 내게 스며드는 Shadow 점점 더 짙어진 내 그림자 이제야 진짜 날 본 것 같아 완벽히 몰입한 순간마다 날 위한 이 춤을 춰 홀로 춤을 추는 Shadow Shadow 나를 더 나답게 해 줘, 해 줘 넘쳐버린 리듬이 날 덮쳐 와 흠뻑 젖어가는 Shadow Shadow 감출 수도 없는 채로 내게 스며드는 Shadow"
2020,TWICE,MORE & MORE,DON'T CALL ME AGAIN,박이수 (라라라스튜디오),3A.M. 어김없네 Don’t call me again 이젠 제발 그만해 Don’t call me again 뻔한 얘기 또 변명투성인 네 사과라곤 받아줄 맘이 없는데 Don’t call me again I don’t want you Don’t miss you 얼마나 더 쉽게 말해 줘야 돼 솔직한 말로 관심 없어 네 안부 Baby it’s true 우린 이미 끝났어 아파했었던 날들이 아득해져 가 언제 그랬냔 듯이 별것 아닌 듯이 Baby baby fade away Don’t call me again no Don’t call me again 따뜻했던 모든 건 My heart is gone away 싸늘한 재가 됐어 So don’t call me again 수도 없이 되뇌었던 말이 낯설어져 발음할 수가 없어 But I never regret 양심 없이 네 생각만 하지 So please 남처럼 지내줄래 말도 많고 탈도 참 많았던 너와 나의 Story 이젠 정말 끝났어 아파했었던 날들이 아득해져 가 언제 그랬냔 듯이 별것 아닌 듯이 Baby baby fade away Don’t call me again no Don’t call me again
2020,TWICE,MORE & MORE,SWEET SUMMER DAY,"정연, 채영",Yo aayy sweet summer day hey You ready? 떠나자 어디든 let’s go 발 닿는 곳이 다 그림이네 Don’t matter (Oh yeah) so sweet sweet sweet 타버릴 햇살과 시원한 바람 너 뭘 더 바라 말해봐 Say yeah 오늘만은 아이처럼 뛰어놀래 환한 미소 그 얼굴과 (더 크게 웃어봐) 뜨거운 태양과 함께 몸을 맡겨봐 눈치 볼 필요는 Oh 없어 Baby 한 여름밤의 Sweet sweet summer day 모래사장 속 발을 담가봐 Come on come on 힘이 들면 잠깐 쉬어가면 돼 한 여름밤의 꿈 A sweet sweet summer day baby Sweet sweet sweet sweet summer day Sweet sweet sweet sweet summer day 무거웠던 짐과 바쁘던 삶과 미련없이 안녕 작별인사 Keep it up 누가 뭐라든 상관 마 Keep going now 아직 많아 시간 봐 오늘만은 아이처럼 뛰어놀래 환한 미소 그 얼굴과 (더 크게 웃어봐) 뜨거운 태양과 함께 몸을 맡겨봐 눈치 볼 필요는 Oh 없어 Baby 한 여름밤의 Sweet sweet summer day 모래사장 속 발을 담가봐 Come on come on 힘이 들면 잠깐 쉬어가면 돼 한 여름밤의 꿈 A sweet sweet summer day baby 두근대는 맘 따라가봐 Runaway Sweet sweet summer day 부서지는 파도 소릴 따라 발 맞춰 가 떠나요 오늘밤 여기 바로 여기 Summer day okay okay 여기 바로 여기 Summer day okay okay 지금처럼 Forever 웃긴 옷 걸치고 Whatever 계속 걸어 Walk walk 귀에 대고 Talk talk 너의 자유를 빌어 한 여름밤의 Sweet sweet summer day 모래사장 속 발을 담가봐 Come on come on 힘이 들면 잠깐 쉬어가면 돼 한 여름밤의 꿈 A sweet sweet summer day baby Sweet sweet sweet sweet summer day Sweet sweet sweet sweet summer day Sweet sweet sweet sweet summer day 한 여름밤의 꿈 A sweet sweet summer day baby
2020,TWICE,MORE & MORE (English Ver.),MORE & MORE (English Ver.),TWICE,"I know I want it I don't wanna hide pretending I don't want it cuz i deserve it deserve it I'm not worried what you will think of me when you see what's inside me cause I know you I know you Don't look away, look in my eyes. show me your heart do not disguise You can run but you cannot hide no no Even if you tell me good-bye Whenever you open your eyes you'll think of me, you're hypnotized Yeah yeah You're gonna say more more more more more and more Can't help but say more more more and more cause you can't get enough I wanna have more more more more more and more And you will say more more more and more Cause it's never enough You'll be begging for more More and more cause you can't get enough You'll be craving for more More and more cause it's never enough Do you feel me or do you still not understand how much you love me Boy you need me you want me Stop pretending I can see it in your eyes You're already mine Cuz I know you I know you Even if you cover your ears and push me away for years and years In your HEART I won't disappear Be right there Nono If I ever call out your name Your heart will feel just like the same You are gonna be mine again And once again You're gonna say more more more more more and more Can't help but say more more more and more cause you can't get enough I wanna have more more more more more and more And you will say more more more and more Cause it's never enough You'll be begging for more More and more cause you can't get enough You'll be craving for more More and more cause it's never enough I'm a greedy girl sorry if you didn't know Take my apology because i want you more more Gonna steal your heart own it and won't let it go By then you'll understand you can't say no no I'll be sneaking in you heart like a stray cat Conquer it, and put my mark on it like a tat My love, so sweet this plan will never fall flat And once again You'll be begging for more More and more cause you can't get enough You'll be craving for more More and more cause it's never enough"
2020,TWICE,Eyes wide open,I CAN'T STOP ME,"J.Y. Park 'The Asiansoul', 심은지","알람이 울려대 Ring ring a ling 서로의 눈길이 닿을 때마다 알면서 빙빙 도는데 점점 다가가잖아 I know it's too late 마음속으로는 다 알고 있잖아 결국에는 선을 넘게 될 거라는 걸 I'm warning myself 너 그러면 안 돼 매분, 매초, 내 맘이 내 맘을 추월해 Out of control 나를 감시하는 저 Spot spot spotlight 비출수록 어둠 속으로 빨려 들어 끝이 보이는데 I know it's not right I can't stop me, can't stop me 내 앞에 놓여진 이 Red red red line 건너편의 너와 난 이미 눈을 맞춰 느끼고 싶어 짜릿한 Highlight I can't stop me, can't stop me I can't stop me, can't stop me 눈감아 달라구 Ya ya 딱 한 번만 No rules ah ah 모른 척해 줘 Lights off tonight 나 참을 수 없을 거 같아 Losing myself 이제는 Turning back 불가능해 난 점점 더 깊은 어둠에 너무나 짜릿해 나 눈을 감을래 다시는 돌아갈 수 없을 것만 같애 Out of control 나를 감시하는 저 Spot spot spotlight 비출수록 어둠 속으로 빨려 들어 끝이 보이는데 I know it's not right I can't stop me, can't stop me 내 앞에 놓여진 이 Red red red line 건너편의 너와 난 이미 눈을 맞춰 느끼고 싶어 짜릿한 Highlight I can't stop me, can't stop me Risky risky wiggy 위기 This is an emergency Help me, help me, somebody stop me Cuz I know I can't stop me 답은 알고 있잖아 근데 가고 있잖아 이러고 싶지 않아 내 안에 내가 또 있나 봐 나는 원하는데 원하는 게 안돼 Guilty 난 싫은데 I can't stop me, can't stop me, can't stop me 나를 감시하는 저 Spot spot spotlight 비출수록 어둠 속으로 빨려 들어 끝이 보이는데 I know it's not right I can't stop me, can't stop me 내 앞에 놓여진 이 Red red red line 건너편의 너와 난 이미 눈을 맞춰 느끼고 싶어 짜릿한 Highlight I can't stop me, can't stop me I can't stop me, can't stop me"
2020,TWICE,Eyes wide open,HELL IN HEAVEN,"심은지, 이해솔","네 눈은 가시 박힌 Diamond 같애 천사와 악마가 왔다 갔다 해 천국과 지옥은 생각보다 멀지 않네 가지려면 하나를 달래 원하면 기회를 준대 어쩌겠어 내가 못 잃을 걸 I know and you know 저 태양이 멈추고 Can't wait, I can't wait 온 세상이 불을 끄면 Oh-oh-oh-oh-oh-oh 시작되는 Deal with the devil 아이야이야 아 Take me to your paradise 천국 문이 닫힌다 별이 쏟아지는 밤 Kiss me in the blue moonlight 빨리 꺼내줘 나를 데려가줘 My hope in hell Take me to your paradise 한 번만 Mmm 한 번 더 Mmm 마지막 Mmm 자꾸 너를 원해 보기만 해도 닿기만 해도 천국 지옥 아니 그 어디쯤 널 뜨겁게 원하고 Can't wait, I can't wait 더 간절히 원할수록 Oh-oh-oh-oh-oh-oh 불리해지는 Deal with the devil 아이야이야 아 Take me to your paradise 천국 문이 닫힌다 별이 쏟아지는 밤 Kiss me in the blue moonlight 빨리 꺼내줘 나를 데려가줘 My hope in hell Take me to your paradise 천국 문을 열어줘 Let me 구름 위를 걸어줘 Can we 너에게 갇힌 날 구해줘 Hold me tight 점점 빠르게 무너져 가 더더 까맣게 물들어 가 Ooh Hell in heaven Oh oh oh oh oh Take me to your paradise 천국 문이 닫힌다 별이 쏟아지는 밤 Kiss me in the blue moonlight 빨리 꺼내줘 나를 데려가줘 My hope in hell Take me to your paradise Paradise"
2020,TWICE,Eyes wide open,UP NO MORE,지효,Uh yeah yeah 어둠이 짙게 깔린 이 밤 홀로 아직도 환한 내 하룰 끄지 못하고 있어 또 혼자인 게 버거워 무서워 나뿐인 어둠이 Yeah 머릿속에 비중 없는 생각에 사로잡혀 주인공도 없는 테마도 뭣도 없는 하나부터 열까지 모두 필요 없는 이야기를 또 All night 이 밤도 보내면 다시 버거운 하루 언제부터인지 알 수도 없게 내게 스며들어버려 이젠 그만 One two three 멀어질 수 있게 웃어볼 수 있을까 I don't wanna wanna be up no no more I don't wanna wanna be up up all night again Na na not again woo I don't wanna I don't wanna waste my time 내일은 더 깊은 밤에 스며들도록 더 더 더 멀어질 수 있게 Oh Um 지금은 더 길어지고 곧 내일이 또 다가와 버리면 Stop stop 또 또다시 날 흔들면 그렇게 난 그때 그날 기억하고파 혼란스러운 이 밤들만 기억나 그만 언제부터인지 알 수도 없게 내게 스며들어버려 이젠 그만 One two three 멀어질 수 있게 깊게 잠길 그날이 I don't wanna wanna be up no no more I don't wanna wanna be up up all night again Na na not again woo I don't wanna I don't wanna waste my time 내일은 더 깊은 밤에 스며들도록 더 더 더 멀어질 수 있게 Oh 이런 하루가 또 몇 달이 되어가고 또 몇 년이 되어버려 나는 더욱더 무너져만 가 나를 잃어가 버리는 게 두려워 생각에 잠긴 이 밤 Uh 어둠 속의 느낌 수심 저 깊이 헤엄치는 이 Feeling Yeah 너무 추운 것 같아 손발에 어떤 것도 닿지 않아 이런 날 잡아봐 안아봐 Right now 아무리 발버둥 쳐봐도 No I don't wanna wanna be up no no more oh I don't wanna wanna be up up all night again I don't wanna I don't wanna waste my time Oh 깊어진 이 밤이 끝날 수 있을까 Oh 이런 하루가 또 몇 달이 되어가고 또 몇 년이 되어버려 나는 더욱더 무너져만 가 나를 잃어가 버리는 게 두려워 생각에 잠긴 이 밤 Uh 길어진 밤이 I don't wanna waste my time Woo yeah 오늘도 눈을 감아
2020,TWICE,Eyes wide open,DO WHAT WE LIKE,사나,물속에서 막힌 귀를 뚫고서 울려와 날 부르는 목소리가 Yeah 저 물결을 타고 나를 향해서 점점 다가오는 한발 한발 눈 감고도 느껴져 낯설기도 하지만 이 익숙한 느낌 이유 같은 건 없어 믿고 눈을 떠봤어 난 Cause I know how this feels 네 손을 잡고서 저 깊이까지도 같이 헤매어 Nananana 후회는 없을 거야 Say you won't let me go I won't let u go And we do what we like Nananana We do what we like Nananana Yeah yeah we do what we like Nananana Say you won't let me go I won't let u go And we do what we like Do what we do what we like Do what we do what we like Do what we do what we like Do what we do what we like 밤이 짧아지고 빛에 비춰 보이는 게 세상엔 참 많다고 Yeah 알지도 못했고 상상도 못 해봤어 네 손이 오기 전까진 두려움 속에 젖어 맘대로 움직이지도 못했던 그때 숨 쉬는 법도 몰라 내가 하나둘씩 털어놓고 날 찾아 네 손을 잡고서 저 깊이까지도 같이 헤매어 Nananana 후회는 없을 거야 Say you won't let me go I won't let u go And we do what we like Nananana We do what we like Nananana Yeah yeah we do what we like Nananana Say you won't let me go I won't let u go And we do what we like Do what we do what we like Do what we do what we like Do what we do what we like Yeah yeah we do what we like Do what we do what we like Do what we do what we like Do what we do what we like Do what we do what we like
2020,TWICE,Eyes wide open,BRING IT BACK,다현,"Ooh no I'm gonna bring it back hmm Bring it back to me 어느 순간부터 뭔가 변하기 시작했어 그때 깨달았어 모든 걸 제자리로 돌려놓고 싶어 돌아가길 원해 간절히 원해 너에게 줬던 마음까지 전부 다 하나도 남김없이 다 갖고 오겠어 이제는 더 이상 망설이지 않아 난 지금 당장 I'm gonna bring it back 듣고 싶지 않아 묻고 싶지 않아 네 의견 따위는 Gonna bring it back 이기적이라고 니가 뭐라 하든 난 상관 안 해 Because I've already made up my mind I'll bring it back Bring it back to me Oh Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back to me 구차하게 변명을 자꾸 늘어놔 봤자 별로 관심 없어 관심 없어 아무리 납득시키려고 해봤자 아무 소용 없어 별 의미 없어 너에게 줬던 마음까지 전부 다 하나도 남김없이 다 갖고 오겠어 이제는 더 이상 망설이지 않아 난 지금 당장 I'm gonna bring it back 듣고 싶지 않아 묻고 싶지 않아 네 의견 따위는 Gonna bring it back 이기적이라고 니가 뭐라 하든 난 상관 안 해 Because I've already made up my mind I'll bring it back Bring it back to me Oh Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back to me 결심했어 I'll get it 가져오겠어 I'll take it 쫓아가겠어 저 끝까지 이대로 이대로 Keep going 그대로 그대로 Don't stop it 누구도 막지 못할 거야 I like it, I like it I'll bring it back, make a point you can't stop it Yeah, you know I'm gonna do it 그래 날 미워해도 돼 솔직히 말해 무엇을 바라 어차피 듣지도 않는 걸 뭘 해 Uh anyway, I'll do that And I'll bring it back Bring it back to me, I'll do I'll bring it back to me, to me Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back Bring it back Bring Bring Bring it back to me"
2020,TWICE,Eyes wide open,BELIEVER,KENZIE,"I believe I'm a believer oh yeah Believer You're on my mind 네 생각으로 눈 뜬 아침 You're on my 너무 많은 말 시선들 속에 흔들렸지 Come on and get it 네 걸음이 멈추지 않길 Wait right here for you Believer 난 너를 믿어 넌 Tough하니까 Believer 이 환희 속에 거친 빗속에 내가 사랑한 그 무모한 꿈과 환한 미소를 보여줘 Cause I see the light 너는 할 수 있어 내가 너를 믿잖아 Let's go 헤매어보는 거야 Get lost you and me uh Alright, it's fine 우린 웃고 달리고 몇 번을 넘어져 그럴 때마다 더 강해질 거야 Come on and get it 네 눈빛 약해지지 않길 Wait right here for you Believer 난 너를 믿어 넌 Tough하니까 Believer 이 환희 속에 거친 빗속에 내가 사랑한 그 무모한 꿈과 환한 미소를 보여줘 Cause I see the light 너는 할 수 있어 내가 너를 믿잖아 Baby 혼자인 것 같은 그 밤에 넌 뭘 생각해 You'll see 너를 믿고 있어 Wanna be your only one Believer 난 너를 믿어 넌 Tough하니까 Believer 이 환희 속에 거친 빗속에 내가 사랑한 그 무모한 꿈과 환한 미소를 보여줘 Cause I see the light 너는 할 수 있어 내가 너를 믿잖아"
