가수,앨범,제목,발매일,작사가,가사,
엑소,The 2nd Album `EXODUS`,MY ANSWER,2015.03.30,이주형 (MonoTree),난 강해보여도 웃고 있어도 혼자일 때가 많아 늘 걱정하나 없어 보여도 할 말이 많아 첨 본 순간 너무나 끌려서 이것저것 재지 못하고 말했어 The answer is you My answer is you 내 모든걸 다 보여줘 봤어 You are my everything 너무 확신해서 좀 더 조심할걸 날 더 아낄걸 내 맘 다치지 않게 숨 멈춰버릴 것 같은 이런 기분 나 처음인걸 머릿속엔 온통 네 생각만 너의 표정 웃음소리가 들려 The answer is you (That is you) My answer is you (Only you) 내 모든걸 다 보여줘 봤어 You are my everything 너무 확신해서 기다렸단 말 한마디 나 하지 못해 쓰고 지우네 너의 하룰 궁금해 하는 게 나의 하루의 전부인걸 기다릴게 you you you 맘 열어줘 you you 나도 내 맘 어쩔 수가 없어 You are my everything 영원할게 My love (Oh I'm nothing) 떠나지마 그냥 네 곁에만 있게 해줘 (그냥 네 곁에만 있게 해줘) 아무리 생각해도 (Oh it's you) 난 너라서 It's you It's you,
엑소,The 2nd Album `EXODUS`,EXODUS,2015.03.30,조윤경,"Yeah, babe. My queen. 날 지배하는 너 Oh yeah Stand up! 외쳐도 결국엔 답은 No 부서진 내 맘의 조각이 반짝반짝 해 빠져들었고 출구 따윈 없었고 결국엔 제 자리 또 길을 잃어가 난 타는 저 해가 져 그렇게 너는 더욱 눈부셔 어느새 난 눈이 멀어버려 내 앞에 타오른 불길조차 보이지 않아 천천히 타들어가 이 모든 건 꿈 넌 잔인한 Queen 그 아름다움 뒤 가시 감췄으니 Dangerous Dangerous, She's so dangerous 깨지 않는 꿈 그 안에서 핀 긴 외로움을 꺾고서 달아나리 Exodus Exodus, It's my Exodus Stand back! 외쳐도 내 맘의 도미노 쓰러져 가는데 넌 고갤 까딱까딱 해 더는 뭘 해도 되돌릴 수 없었고 깊어진 한숨에 난 힘이 빠져가 girl 머릿속 너는 Shock 어디를 가도 네가 들려와 어느새 난 귀도 멀어버려 그 무얼 말해도 너밖에는 들리지 않아 틈 없이 사로잡혀 이 모든 건 꿈 넌 잔인한 Queen 그 아름다움 뒤 가시 감췄으니 Dangerous Dangerous, She's so dangerous 깨지 않는 꿈 그 안에서 핀 긴 외로움을 꺾고서 달아나리 Exodus Exodus, It's my Exodus 넌 투명한 유리의 성벽 보석처럼 빛나다 네 안에 나를 가둬 너에게 미친 난 이러다 미처 피하지 못할 병에 걸려 She's dangerously hot 네 달콤한 품 난 나약한 King 너 아닌 모든 걸 전부 잃었으니 Dangerous Dangerous, She's so dangerous 날 가둔 네 품 저 너머의 길 그 빛을 향해 난 너를 탈출하리 Exodus Exodus, It's my Exodus Exodus Exodus",
엑소,The 2nd Album `EXODUS`,EL DORADO,2015.03.30,"서지음, 이유진","또 같은 꿈을 꿨어 끝없는 사막 끝에 눈부신 도시는 항상 닿기도 전에 사라져버려 내가 가야 할 그 곳을 향해서 멀고도 험난한 여정을 하겠어 아무것도 확신 할 수도 기약조차 할 수 없어도 Find the El Dorado 난 지금 떠나려해 더 큰 모험엔 언제나 위험이 따르는 법 우리 앞에 펼쳐진 저 빛 속으로 그 누구도 모르는 미래를 향해 먼 훗날에 전설이 될 걸음 The El dorado 어떤 날엔 폭풍 속에 있다 해도 함께라면 두렵지 않아 oh El Dorado rado 낙원을 찾아 Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado do Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado 고요한 바람 소리가 난 들려 어디서 불어왔을까 금빛 노래 두 눈을 감아보니 조금 더 선명해진 그 곳이 아른거려 저 끝을 알 수 없어도 또 돌아갈 순 없어도 Find the El Dorado 그 곳이 나를 부를 때 같은 자리에 난 멈춰있진 않겠어 우리 앞에 펼쳐진 저 빛 속으로 그 누구도 모르는 미래를 향해 먼 훗날에 전설이 될 걸음 The El dorado 어떤 날엔 폭풍 속에 있다 해도 함께라면 두렵지 않아 oh El Dorado rado 저 멀리 모래로 된 높은 파도 또 몰아쳐 와도 내가 만날 운명 그건 El Dorado Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado 험난한 여정 장애물 이어져 하나된 우린 모든걸 넘어 저 빛은 커져 No pain No gain 이곳은 미지의 세계 열손가락 모두 더해 위에 원을 We are one Now we're here 수많은 시간들이 우리를 스치고 더 펼쳐진 날들이 난 더욱 기대가 돼 날 믿어준 그들에게 옳았다고 증명해 보일거야 우리 앞에 펼쳐진 저 빛 속으로 그 누구도 모르는 미래를 향해 먼 훗날에 전설이 될 걸음 The El dorado 같은 하늘 같은 이름 아래 우린 하나기에 서로를 믿어 oh El Dorado rado (I know it's there) Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado do Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado 저 멀리 모래로 된 높은 파도 또 몰아쳐 와도 우린 다시 맞서 결국 El dorado Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado",
엑소,The 2nd Album `EXODUS`,PLAYBOY ,2015.03.30,종현 (JONGHYUN),Hey Playboy haha (boy) Let's play! 울리는 전화도 받지마 조용히 두자 우리 둘 말곤 아무도 알려줄 필요도 없잖아 그대로 두자 왜 걱정하니 넌 괜찮아 괜찮아 네 마음 전부 알고 있어 괜찮아 괜찮아 괜찮아 보여줘 네 비밀을 다 까맣게 덮여진 내 맘은 Your place 하얗게 타버린 네 맘은 My place 질릴 수 없는 게 당연한 이 Play (You know what it is?) 까맣게 잊혀진 내 말은 My base 하얗게 사라진 네 말은 Your trace 돌릴 수 없는 게 당연한 이 Play (boy) Play play (boy) Play play (boy) Play (boy) Play (boy) Play 늦었다 싶을 땐 이미 손 쓸 수 없을 정도로 내게 빠졌다고 (안그래?) 전부다 알면서 시작 해놓곤 이제 와서는 전부 내 탓이라고 나 못된 네 상상보다 못된 착함과는 거리가 먼 사람이라 더욱 행복해 제발 도망치지 말아줘 날 떠나려고 하지마 괜찮아 괜찮아 네 마음 전부 알고 있어 괜찮아 괜찮아 괜찮아 보여줘 네 비밀을 다 까맣게 덮여진 내 맘은 Your place 하얗게 타버린 네 맘은 My place 질릴 수 없는 게 당연한 이 Play (You know what it is?) 까맣게 잊혀진 내 말은 My base 하얗게 사라진 네 말은 Your trace 돌릴 수 없는 게 당연한 이 Play (boy) 나 호칭 정린 됐어 입맞춤 한번 That's all 나 같은 놈 만난 건 너 행운일지 악연일지 갈리지 두 갈래 길 Yes! 꼭 잘못 삼킨 위스키 널 뜨겁게 더 들뜨게 나 만들게 (leggo) 못됐지 하지 말란 걸 더 즐겨 난 말했듯 아직 시작도 안 한 메인 게임 더 밀고 날 당겨봐 이길 자신 넘쳐 난 이렇게 매일이 신선한 외로움을 달래 난 Oh! 나 멈출 수 없다고 너도 마찬가지잖아 그냥 날 놓치기 싫잖아 (안그래?) My babe 까맣게 덮여진 내 맘은 Your place 하얗게 타버린 네 맘은 My place 질릴 수 없는 게 당연한 이 Play (You know what it is?) 까맣게 잊혀진 내 말은 My base 하얗게 사라진 네 말은 Your trace 돌릴 수 없는 게 당연한 이 Play (boy) Play (boy) Play (boy) Play (boy),
엑소,The 2nd Album `EXODUS`,HURT,2015.03.30,"100%서정 (soulsweet, 정영아)","유독 짙게 밴 너의 향기에 발이 묶인 난 네 꿈의 노예 같아 가슴 속 한 편 불꽃같은 기억 연기처럼 사라져 숨결에 간절한 맘 녹여 외쳐본다 찰나에 재가 될까 허공 위로 팔을 뻗어봐 검푸른 새벽 몽환적인 목소리만 울려 퍼져 Who knows? 끝이 없는 Mystery 안개 같은 Memory 내 예감은 왜 빗나가는가 눈물 섞인 빗소리 내 귓가에 숨소리 단 한 번도 널 찾지 못한 나 You hurt me (So bad, so bad) You hurt me (So bad, so bad) 내 머릿속엔 영원히 (Insane) 네가 살아 있는 데 내 시야엔 투명한 너와 나 Yeah 새하얀 달빛의 멜로디 은밀히 준비한 내 두드림 밤은 마치 강물 같지 쉿! 비밀을 품은 채 살지 속삭여 줄래 대체 어딜 가야 닫힌 너의 세곌 열 수 있는 건지 데려가 줄래 너를 가린 베일 그 속에 날 살게 할 수는 없는 건지 난 매일 밤 네게 잠이 든다 꿈속에 연주되는 감미로운 선율 너와 나 두 눈을 감고 어둠 속에 그림자로 따라 간다 Who knows? 끝이 없는 Mystery 안개 같은 Memory 내 예감은 왜 빗나가는가 눈물 섞인 빗소리 내 귓가에 숨소리 단 한 번도 널 찾지 못한 나 You hurt me (So bad, so bad) You hurt me (So bad, so bad) 내 머릿속엔 영원히 (Insane) 네가 살아 있는 데 내 시야엔 투명한 너와 나 단 한번만 날 찾아줘 얼마나 원하는지 알잖아 희미한 네 모습보다, 저 짙은 밤보다 나 혼자인 게 두려워져 Uh! 끝이 없는 Mystery 안개 같은 Memory 내 예감은 왜 빗나가는가 눈물 섞인 빗소리 내 귓가에 숨소리 단 한 번도 널 찾지 못한 나 You hurt me (So bad, so bad) You hurt me (So bad, so bad) 내 머릿속엔 영원히 (Insane) 네가 살아 있는 데 내 시야엔 투명한 너와 나 It hurts",
엑소,The 2nd Album `EXODUS`,유성우(流星雨) (Lady Luck),2015.03.30,조윤경,시간아 조금만 더 달려봐 yeah (I promise girl) 어둠이 내리게 해 봐 그녀를 데려 와 수 많은 별 그 중에 너는 only one Oh! 난! 고개 들어 바라 볼 수 밖에. 나 한 없이 한 없이 닿을 수 없나 따라 가 봐도 잡을 수 없나 손을 뻗어도 왜 이리 멀까 난 기나 긴 밤을 깊은 한숨뿐 반짝이는 oh 넌 그 순간 넌 넌 황홀하게 내게 와 쏟아지는 유성우 속 (너 역시도 나를 원했단 걸) 이 어둠을 지나서 너를 태워서 넌 눈부신 빛을 던져버려 가까워지는 널 (밤 세워 기다려) Babe Babe 오직 나만의 Lady Lady Luck Luck Luck (so listen) 수 많은 사람들은 너를 향해 yeah (my precious girl) 천 개의 소원을 말해 네가 이뤄주길 내가 바라는 건 단 하나 only you Oh! 난! 너라는 그 자체로 만족 해. 나 더 많이 더 많이 꿈처럼 펼친 오로라 커튼 그 사이 숨어 빛나는 fortune 깊어진 눈빛 내게만 들린 너의 목소리 우- 이렇게나 oh 더 눈부신 넌 넌 속삭이듯 내게 와 흩날리는 유성우 속 (다 잠든 사이 내게로 와) 내 생애에 단 한 번 네게 빠졌던 셀 수 없는 밤을 거슬러가 쏟아져오는 널 (간절히 기다려) 온 세상이 잠든 그 순간 날아와 넌 반짝이는 oh 넌 그 순간 넌 넌 황홀하게 내게 와 쏟아지는 유성우 속 (너 역시도 나를 원했단 걸) 이 어둠을 지나서 너를 태워서 넌 눈부신 빛을 던져버려 가까워지는 널 (팔 벌려 기다려) Babe Babe 너는 내 행운의 여신 Lady Lady (Luck Luck Luck) Babe Babe 나를 압도하며 내린 Lady Lady,
엑소,The 2nd Album `EXODUS`,BEAUTIFUL,2015.03.30,이채윤,"Uh, 하늘한 머릿결, 그 사이로 두 눈, 별빛처럼 날 비춰 네가 내려와 지친 하루에 작은 소년의 기도 간절함이 닿아 색깔 향기 소리 없는 내 맘 스며들어 점점 비 갠 후에 투명한 거리의 색 그 싱그러움 닮은 나의 여신 하늘에 뜨는 꽃 대지에 피는 봄 다 막을 수가 없잖아 처음부터 정해진 걸 너에게 끌리는 맘 (Love) 숨이 닿는 그 순간 네 향기에 물들어가 Beautiful Beautiful 꽃잎을 닮은 그 몸짓 Oh You Beautiful Beautiful 바스러지지 않을까 Oh You Beautiful Beautiful 마음껏 안지 못해 널 Oh You Beautiful Beautiful 눈부신 나의 그대여 Beautiful Beautiful 천국의 문을 열어 줘 (문을 열어 줘) Oh You Beautiful Beautiful 환희에 젖어 드는 눈 (탄성이 터지고 Oh) Oh You Beautiful Beautiful 시간도 잠도 잊은 채 (에덴으로 떠나자) Oh You Beautiful Beautiful 영원히 너란 꿈을 꿔 네 모든 언어가 마치 바람이 되어 맴도는 걸 간지러운 속삭임 회오리처럼 헤집어 놔 내 맘 가라앉지 않아 네 입술에 닿았던 나의 이름 별 의미 없던 내가 특별해져 하늘은 바다 빛 스며든 금귤 빛 (봐) 언제 올지 모르지 노을 같은 사랑이란 말없이 번져가고 (Love) 다른 색을 가져도 네 세상에 물들어가 Beautiful Beautiful 꽃잎을 닮은 그 몸짓 (Oh 꽃잎을 닮은 그 몸짓) Oh You Beautiful Beautiful 바스러지지 않을까 (부서질까 겁이나 Tonight) Oh You Beautiful Beautiful 마음껏 안지 못해 널 (너 깨질 까봐 My lady) Oh You Beautiful Beautiful 눈부신 나의 그대여 Beautiful Beautiful 천국의 문을 열어 줘 (hey! 부디 나만 허락해 줘) Oh You Beautiful Beautiful 환희에 젖어 드는 눈 (터져 나온 탄성 Be my baby) Oh You Beautiful Beautiful 시간도 잠도 잊은 채 (둘이 떠나자) Oh You Beautiful Beautiful 영원히 너란 꿈을 꿔 Oh so Beautiful (Oh you're so beautiful) Oh so Beautiful (so beautiful to me) Oh so Beautiful (and I just gotta let you know, girl) to me, to me. Beautiful Beautiful 너의 목소린 멜로디 (너의 목소린 멜로디 Oh) Oh You Beautiful Beautiful 오묘한 빛을 따라가 Oh You Beautiful Beautiful 신화 속 어느 별보다 (어느 별보다 넌) Oh You Beautiful Beautiful 이토록 찬란하다 너 Beautiful Beautiful 천국의 문을 열어 줘 (나만 허락해 줘) Oh You Beautiful Beautiful 환희에 젖어 드는 눈 (빠져 들어가 네 안에 오롯이) Oh You Beautiful Beautiful 시간도 잠도 잊은 채 (나를 잊은 채 Yeah) Oh You Beautiful Beautiful 영원히 너란 꿈을 꿔",
엑소,LOVE ME RIGHT - The 2nd Album Repackage,LOVE ME RIGHT,2015.06.03,"오유원,?김동현","Oh Yeah! C’mon! Take your time 왠지 두근대는 밤이야 (Na Na Na Na) So tonight 달 끝까지 달려가볼까 (Yea Yea Yea Yea) Just right 시동을 걸어 엑셀에 발을 올려 모든 것이 특별해 너와는 잘 어울려 무엇을 원하던 Imma make it work (Yeah) Shawty, Imma party till the sun down 지금 이 신비로운 느낌은 뭘까 와줘 내게로 어서 Before the sun rise 네가 없는 난 어딜 가도 Nobody (Yeah) 오! 도로 위에 여긴 runway 날 바라보는 눈 속 milky way Just love me right (아하!) Baby love me right (아하!) 오! 내게로 와 망설이지마 넌 매혹적인 나의 universe Just love me right (아하!) 내 우주는 전부 너야 Just love me right 내 우주는 전부 너야 Shine a light 별빛 속을 달려 은하수를 건너 (Na Na Na Na) 멈출 순 없어 오예! 우릴 비추는 달빛은 여전하지 네 궤도 안 헤매고 있어 난 아직 I can do this all night long baby 네가 없는 난 어딜 가도 반쪽짜리니까 오우! 달빛 찬란한 밤 펼쳐진 별들의 불꽃놀이 좀 더 높이 날아가볼까 (날아가볼까) 가슴 터질듯한 이 순간 우리 둘만 떠올라 발 밑에 지구를 두고 love me right 도로 위에 여긴 runway 날 바라보는 눈 속 milky way Just love me right (아하!) Baby love me right (아하!) So come on baby 눈이 부시게 더 아름다운 너의 universe (아름다운 lady) Just love me right (아하!) 내 우주는 전부 너야 (오!) Just love me right Just love me right (Can you love me right) Just love me right I just wanna make you love me (내 우주는 전부 너야) 수 없는 밤이 찾아와도 내 하늘엔 오직 너만 빛나 (Woo Yeah) 속삭여줘 내게만 밤하늘을 너와 내가 물들여가 도로위에 여긴 runway 날 바라보는 눈 속 milky way just love me right 아하 baby love me right 아하 오 내게로와 망설 이지마 넌 매혹적인 나의 universe Just love me right 아하 내 우주는 전부 너야 Just love me right (Oh oh oh yeah) Just love me right Just love me right (우리만의 시간) 내우주는 전부너야 Just love me right (짜릿한 Cosmic ride, 우리만의 야간비행) I just wanna make you love me Yea (Woo You got to love) Yea (You got to love me) Yea 내 우주는 전부 너야 (내 우주는 전부 너야) (You love me) Yea (You love me) Yea (You love me) Yea 내 우주는 전부 너야",
엑소,LOVE ME RIGHT - The 2nd Album Repackage,TENDER LOVE,2015.06.03,개코,인도의 안쪽으로 들어와 들어와 혹시 다치지 않게 널 끌어당기고 같이 밥 먹을 때도 숟가락 젓가락을 냅킨 위에 올려 깨끗이 놔주고 잠이 부족한 아침(오!) 이라고 해도 조금 일찍 일어나 틱틱 모닝콜 널 좋아하게 된 순간부터 하루도 보통날인적 없어 친한 오빠동생 사이 감정 없는 척 좋은 동생이라고 널 소개하지만 입안에 머무는 말 널 사랑하고 있어 I wanna give you * (Hey!) Tender love Tender love baby (Give it to me) Tender love Tender love baby (Hey!) Tender love (세련되진 않지만) Tender love baby (Give it to me) Tender love (누구보다 깊고 또 신중한) 내 사랑은 구식이야 친한 친구들은 이미 (너 머야!) 눈치챈듯해 고백고백고백해 아쉽게 널 보내고 나면 기분은 왠지 오에오에오에아 친한 오빠동생 사이 감정 없는 척 착한 동생이라고 널 소개하지만 입안에 머무는 말 널 사랑하고 있어 I wanna give you (Hey!) Tender love Tender love baby (Give it to me) Tender love Tender love baby (Hey!) Tender love (세련되진 않지만) Tender love baby (Give it to me) Tender love (누구보다 깊고 또 신중한) 내 사랑은 구식이야 눈썹 끝을 아래로 뚝 떨어뜨리고 말을 흘리네 (오빠오빠) 그럴 때면 심장 소리가 밖으로 크게 울리네 (쿵쾅쿵쾅) 얼굴은 화끈화끈 귀에선 불이 나네 그러다가도 몇 시간 지나면 멘탈은 다시 유리가 돼 (Hey!) Tender love Tender love baby (Give it to me) Tender love Tender love baby (Hey!) Tender love (세련되진 않지만) Tender love baby (Give it to me) Tender love (누구보다 깊고 또 신중한) 내 사랑은 구식이야,
엑소,LOVE ME RIGHT - The 2nd Album Repackage,FIRST LOVE,2015.06.03,이스란,"Oh oh oh oh (첫사랑의 비밀 일기) ah-yeah 한걸음 한걸음 널 따라 걸어, 너 몰래 너 몰래 발을 맞추며 옷자락에 스친 너의 향기 왜 이리 떨려오는 건지 너무나 달콤하지 조그만 조그만 예쁜 손 끝이 닿을 듯이 닿을 듯이 또 맘을 간질여 어느새 쥐여진 여린 온기 오롯이 나에게만 전해진 우리의 순수한 사랑이야기 나의 마음이 (하얗게) 내 두 뺨이 (발갛게) 마주친 눈이 (까맣게) 내 하늘이 (노랗게) 물들어가지 구름 위를 넘실거릴 듯 날아오를 기분 싱그러운 두근거림 * 내게 다가와 핀 (다가와 핀 한 송이 한 송이 예쁜 장미) 너는 나만의 빛 (나만의 빛 내 맘을 내 맘을 비추는 빛) 아무도 모를 비밀 (모를 비밀 둘만의 간직하고 싶은 비밀) 가장 눈부신 그림 (나의 그림 너무 아름다운 그림 LOVE) 매일 밤 매일 밤 연습해왔던 달콤한 달콤한 모든 언어도 날 바라보며 환히 웃어오는 미소에 기억에도 없이 또 녹아내려 버리지만 소년과 소녀의 조금은 서툰 사랑 앞엔 무엇도 필요치 않아 투명한 눈으로 내게 속삭였지 그 눈동자에 비친 난 또 마냥 웃고만 있는 걸 나의 마음이 (하얗게) 내 두 뺨이 (발갛게) 마주친 눈이 (까맣게) 내 하늘이 (노랗게) 물들어가지 모든 게 달라 보여 난 왜 매일 꿈 속을 헤매고 있을까 내게 다가와 핀 (다가와 핀 한 송이 한 송이 예쁜 장미) 너는 나만의 빛 (나만의 빛 내 맘을 내 맘을 비추는 빛) 아무도 모를 비밀 (모를 비밀 둘만의 간직하고 싶은 비밀) 가장 눈부신 그림 (나의 그림 너무 아름다운 그림 LOVE) 누구나 한번쯤은 꾸게 된다는 이 꿈 이름도 설레는 첫사랑이라는 이 꿈 난 점점 깊이 빠져 처음 세상을 본 아이처럼 미처 몰랐었던 너란 신비 알고 싶어 하나 둘씩 사랑이 뭔지 알려줘 너만이 가르쳐 줄 수 있는 걸 하얀 종이에 조금씩 그려 나만 볼 수 있게 몰래 보여줘 그렇게 매일 Crazy 너와 함께 하겠지 꿈을 꾸지 Baby Love you baby baby 소리도 없이 스며들어와 조심스레 넌 점점 번져와 너로 인해 알게 된 모든 게 아름다워 영원히 이 꿈 속에서 난 잠들고 싶어 나의 마음이 (하얗게) 내 두 뺨이 (발갛게) 마주친 눈이 (까맣게) 내 하늘이 (노랗게) 물들어가지 오늘로 너란 세상 속 발을 들인 그 날 난 다시 태어나 내게 다가와 핀 (다가와 핀 한 송이 한 송이 예쁜 장미) 너는 나만의 빛 (나만의 빛 내 맘을 내 맘을 비추는 빛) 아무도 모를 비밀 (모를 비밀 둘만의 간직하고 싶은 비밀) 가장 눈부신 그림 (나의 그림 너무 아름다운 그림 LOVE)",
엑소,LOVE ME RIGHT - The 2nd Album Repackage,약속 (EXO 2014),2015.06.03,"첸 (CHEN),찬열 (CHANYEOL)",가끔 이 문을 닫고 난 생각에 빠져 무대 위 내 모습을 상상하곤 했어 서투른 내 모습도 좋아해 준 너였지만 과분한 그 사랑을 받아도 되는지 언제나 그 자리에 기다려준 너 두 팔로 감싸 안아준 고마운 너 절대로 잊지 않을 거야 행복하게 만들어줄 거야 하나란 그 말처럼 시간이 지나도 말하지 못하고 맘속으로 삼키는 나 미안하다고 널 사랑한다고 지금처럼 믿어달라고 널 안아줄게 두 손 잡아줄게 네 맘이 편해질 수 있다면 내 모든걸 바칠게 네 웃는 그 모습을 지켜주고 싶어 (지켜주고 싶어) 항상 널 언제부터인지 넌 웃어도 우는 것만 같았어 맘 편히 날 사랑하지 못하고 또 추억을 떠올려 그리워해 조금은 네가 안타까워 좋아질 거라 잊혀질 거라 하는 위로 조차도 너를 달래 줄 수가 없기에 또 나는 불안해 해 떠나지 말라 널 붙잡고 싶어 이미 어긴 약속 되돌릴 수가 없다는 걸 알아 하지만 나 평생 네 곁에서 살아 숨쉬고 싶어 처음처럼 행복하길 빌어 고마워 미안해 사랑해 네겐 내 모든걸 다 줘도 모자라 내 사랑아 평생 지켜줄게 나만 따라오면 돼 언제나 그 자리에 기다려준 너 두 팔로 감싸 안아준 고마운 너 절대로 잊지 않을 거야 행복하게 만들어줄 거야 하나란 그 말처럼 힘들고 지쳐도 마음이 다쳐도 난 또 다시 무대위로 다시 한번 더 나 힘을 내볼게 기다려준 너를 위해서 널 안아줄게 두 손 잡아줄게 네 맘이 편해질 수 있다면 내 모든걸 바칠게 참 좋았었던 날들 너와 함께했던 내 생일날의 무대 너의 말 한마디가 내게 힘이 됐던 때 I know 약속할게 네가 실망 안 하게 (너에게 약속할게 항상 웃을 수 있게) 약속해줘 그냥 지금처럼만 (나에게 약속해줘 너를 볼 수 있게) 많이도 아파했을 너의 맘을 내가 꼭 안아줄 거야 시간이 지나도 말하지 못하고 맘속으로 삼키는 나 미안하다고 널 사랑한다고 지금처럼 믿어달라고 널 안아줄게 두 손 잡아줄게 영원히 함께 할 수 있다면 내 모든걸 바칠게 오우- Yeah I promise you,
엑소,LIGHTSABER,LIGHTSABER,2015.11.11,"정주희 (Jam Factory),찬열 (CHANYEOL),MQ",넌 외로운 꽃 차갑게 얼은 눈빛 깊숙이 숨은 별빛 그 짙은 어둠 속 긴 잠에 빠진 너를 깨워낼 수만 있다면 멀리 찬란하게 뻗은 빛을 따라와 여기 차오르는 눈부심을 느껴봐 너의 세상에 내가 닿을 때 깨어나 너를 피워내 eh eh eh 손을 내민 널 지키러 이곳을 찾아 헤맸던 너를 위한 savior 암흑 속 내가 손을 잡을게 A life saver Lightsaber Lightsaber Lightsaber Lightsaber Lightsaber (Drop) Oh Lightsaber oh Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber 얼었던 너의 맘을 녹아 내리게 해 그 속에 이젠 너와 내가 빛의 춤을 춰 Here we go Danger 위험해 어둠에 빛이 박힌 모양샌 더 서둘러 먼동 트기 전 누구도 못 보게 너를 데려와 내 옆에 고갤 숙여 하얗게 타는 나의 그림자를 따라오면 돼 궤도하는 시공 속에서 조금씩 선명해지는 찰나 눈을 감아 잠시 Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber Light Light Light Light Light Woo Oh Woo Oh Lightsaber Lightsaber 별처럼 쏟아져 어둠을 거슬러 너를 피워낼 시간 감춘 너의 눈물마저 빛이 나게 새벽 끝에 왔어 모두 제자리로 가는 길 바로 여기에 내 모든 걸 네게 줄게 손을 내민 널 지키러 이곳을 찾아 헤맸던 너를 위한 savior 암흑 속 내가 빛이 돼줄게 A life saver Lightsaber Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber Light Light Light Light Light Woo Oh Woo Oh Light Light Light Light Lightsaber Lightsaber Lightsaber Lightsaber Lightsaber Lightsaber,
엑소,"SING FOR YOU - 겨울 스페셜 앨범, 2015",Sing For You,2015.12.10,Kenzie,"내 낡은 기타를 들어 하지 못한 고백을 혹은 고집스레 삼킨 이야기를 노래 하나 만든 척 지금 말하려 해요 그냥 들어요 I’ll sing for you 너무 사랑하지만 사랑한다 말 안 해 어색해 자존심 허락 안 해 오늘은 용기 내서 나 말할 테지만 무심히 들어요 I’ll sing for you The way you cry, the way you smile 내게 얼마나 큰 의미인 걸까? 하고픈 말, 놓쳐버린 말 고백할 테지만 그냥 들어요 I’ll sing for you, sing for you 그냥 한번 듣고 웃어요 조금 우습죠 내겐 그대 밖에 없는데 가끔은 남보다 못한 나 사실은 그대 품에 머리칼을 부비고 안기고 싶은 건데 말이죠 The way you cry, the way you smile 내게 얼마나 큰 의미인 걸까? 돌아서며 후회했던 말 사과할 테지만 그냥 들어요 I’ll sing for you, sing for you 아무렇지 않은 척해요 매일 너무 감사해 그대가 있어서 신께서 주신 내 선물 오늘이 지나면 난 또 어색해 할지도 하지만 오늘은 꼭 말하고 싶어 그러니 들어요 The way you cry, the way you smile 내게 얼마나 큰 의미인 걸까? 하고픈 말, 놓쳐버린 말 고백할 테지만 좀 어색하지만 그냥 들어요 I’ll sing for you, sing for you 그냥 들어요 I’ll sing for you",
엑소,"SING FOR YOU - 겨울 스페셜 앨범, 2015",불공평해 (Unfair),2015.12.10,Deanfluenza,"그렇게 날 보고 웃으면 (Girl, don't you know?) 아무렇지 않기는 힘들어 다 마신 커피도 벌써 몇 잔째인데 Baby 몽롱한 이유는 뭐니 oh 뭐니 아마 친구가 봤다면 욕했을 걸 이런 모습과 말들이 낯간지러워 but 네 앞에만 서면 언제 그랬냐는 듯이 넌 불공평해 이기적인 거니? (그만해) 너의 눈 너의 코 너의 입은 봐도 봐도 계속 예쁠 거니 넌 불공평해 거기까지만 해 oh 넌 위험 해 위험 해 천천히 (엄마야) 혹시 알고 있다면 장난치진 말아줘 (Don't you see?) 점점 더 네게 헤매이는 내게 들었다가 놨다가 하는 건 너무 가혹하다고 I gotta gotta slow down (Baby baby baby) baby oh 아마 친구라면 내가 욕했을 걸 이런 모습과 마음들이 너무 급하단 걸 나도 잘 알고 있지 But you make me say this 넌 불공평해 이기적인 거니? (그만해) 너의 눈 너의 코 너의 입은 봐도 봐도 계속 예쁠 거니 넌 불공평해 거기까지만 해 oh 넌 위험 해 위험 해 천천히 (엄마야) 내가 왜 이러는지 되물어봐도 확실한 이유 대신 떨림들이 말해주는 것 같아 딴 건 중요치 않아 그새 다시 네게 전화를 거네 진짜 이상한 거 아는데 아무 말 하지 말고 들어봐 I know it's unfair 이기적인 거니? (어떠니) 너의 눈 너의 코 너의 입을 나만 보고 싶어 욕심 같니 (보고 싶어 baby) I know it's unfair 딱 잘라 말해 더는 나 위험 해 위험 해 천천히 (위험해 험해 baby) (I'm telling) Girl, girl, be my love 우린 매일 커피를 마셨고 (My baby yeah) Girl, girl, be my love 밤마다 긴 통화도 했어 (Babe) Girl, girl, be my love 자, 넘어올 때 도 됐으니 Oh baby falling let's fall in love (엄마야)",
